id,company,arena,source_type,metric_family,claim,confidence,strength,storyboard_use,url
E01,Cohort,incumbent,SEC filing,market power,"NVIDIA FY2026 revenue was $215.9B; data-center compute grew 59% and networking 142%",high,primary,"market power; bear case",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000036/nvda-20260512.htm
E02,Cohort,benchmark,standards consortium,independent proof,"None of the ten cohort companies appeared among 27 MLPerf Inference 5.1 participating organizations",high,primary,"evidence gap; methodology",https://mlcommons.org/2025/09/mlperf-inference-v5-1-results/
E03,Lightmatter,optical interconnect,company technical disclosure,product proof,"Passage demonstrated 800 Gbps per fiber in rackable validation hardware",medium,vendor,"company profile",https://lightmatter.co/blog/seeing-is-believing-a-technical-deep-dive-into-lightmatters-hardware/
E04,Lightmatter,optical interconnect,company release,product proof,"Lightmatter announced 1.6 Tbps per fiber with Qualcomm and lead-customer evaluation kits",medium,vendor+partner,"company profile; arena",https://lightmatter.co/press-release/lightmatter-achieves-record-1-6-tbps-per-fiber-to-accelerate-ai-optical-interconnect/
E05,Lightmatter,optical interconnect,company release,funding,"Lightmatter raised $400M at a $4.4B valuation; $850M cumulative",high,primary announcement,"valuation debate",https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/
E06,Cornelis,scale-out fabric,LLNL/industry sources,customer proof,"CN5000 was selected for LLNL's 952-node Lynx; LLNL described the system as in bring-up in March 2026",high,customer primary,"company profile",https://hpc.llnl.gov/sites/default/files/2026-03/2026-03-25-lc-user-meeting.pdf
E07,Cornelis,scale-out fabric,peer-reviewed paper,technical proof,"Experimental work validates Omni-Path QoS and topology capabilities but not current product economics",medium,peer reviewed,"company profile; caveat",https://doi.org/10.1007/s11227-022-04365-y
E08,Xsight Labs,DPU/Ethernet,company product page,product proof,"Xsight markets X2-based 1RU configurations supporting 16x800G OSFP or 32x400G on a 12.8-Tbps full-duplex switch ASIC",medium,vendor,"company profile",https://xsightlabs.com/switches/x2
E09,Xsight Labs,DPU/Ethernet,company announcement,customer proof,"Xsight announced X2 as the networking core for planned next-generation Starlink V3 satellites; this is a design win, not in-orbit volume proof",medium,vendor with named customer quote,"company profile",https://xsightlabs.com/newsroom/announcements/xsight-labs-x2-switch-to-enable-next-generation-starlink-satellites-and-deliver-gigabit-connectivity
E10,Tenstorrent,open compute/IP,company release,funding,"Tenstorrent raised $693M at a $2.0B pre-money valuation",high,primary announcement,"valuation; company profile",https://tenstorrent.com/newsroom/tenstorrent-closes-693m-of-series-d-funding-led-by-samsung-securities-and-afw-partners
E11,Tenstorrent,open compute/IP,company deployment note,product proof,"Blackhole Galaxy is described as shipping in volume with vLLM tooling and supercluster deployments",medium,vendor,"company profile",https://tenstorrent.com/newsroom/tt-deploy
E12,Tenstorrent,open compute/IP,preprint,independent proof,"A third-party Wormhole study found lower energy on a 2D FFT but slower performance than a 24-core Xeon; it supports workload-specific efficiency, not broad AI leadership",medium,independent preprint,"company profile; evidence maturity",https://arxiv.org/abs/2506.15437
E13,d-Matrix,memory-centric inference,company release,product proof,"Corsair entered production with TSMC/Alchip and named rack-component partners",medium,vendor+partners,"company profile",https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/
E14,d-Matrix,memory-centric inference,company release,systems expansion,"d-Matrix acquired GigaIO data-center assets including SuperNODE and FabreX",high,primary announcement,"company profile; integration risk",https://www.d-matrix.ai/announcements/acquisition-of-gigaio/
E15,Axelera AI,edge inference,company/partner release,distribution proof,"Advantech integration adds a global hardware, sales and support channel",medium,vendor+partner,"company profile",https://axelera.ai/news/axelera-ai-and-advantech-deepen-partnership-to-accelerate-edge-ai-adoption-across-industrial-and-embedded-markets
E16,Axelera AI,edge inference,company release,funding,"Axelera reported $68M Series B, $120M total and a $100M business pipeline",medium,vendor,"company profile; valuation caveat",https://axelera.ai/news/axelera-ai-raises-68-million-series-b-funding-to-accelerate-next-generation-ai
E17,NextSilicon,reconfigurable HPC,US national laboratory,customer proof,"Sandia confirmed a multiyear Vanguard evaluation partnership with NextSilicon and Penguin Solutions",high,independent primary,"company profile",https://www.sandia.gov/research/news/sandia-partners-with-nextsilicon-and-penguin-solutions-to-deliver-first-of-its-kind-runtime-reconfigurable-accelerator-technology/
E18,NextSilicon,reconfigurable HPC,company product page,software proof,"Maverick-2 supports C/C++/Fortran/OpenMP/Kokkos; CUDA/ROCm/framework integrations remain upcoming",medium,vendor,"company profile; migration caveat",https://www.nextsilicon.com/
E19,Etched,transformer ASIC,credible reporting,funding,"Etched raised $300M at a $10.3B valuation; publicly itemized rounds total roughly $925M",medium,third party,"valuation debate",https://techcrunch.com/2026/07/23/ai-chip-startup-etched-defies-skeptics-hits-10-3b-valuation-from-big-name-investors/
E20,Etched,transformer ASIC,credible reporting,contracts,"Etched reports over $1B of signed contracts; systems were still in customer testing",medium,vendor claim reported independently,"company profile; valuation debate",https://techcrunch.com/2026/06/30/nvidia-competitor-etched-hits-5b-valuation-1b-in-sales-for-ai-chip/
E21,Etched,transformer ASIC,company progress page,product proof,"A0 N4P silicon and first rack validation disclosed; no independent comparable benchmark",medium,vendor,"company profile; bear case",https://www.etched.com/progress/frontier-inference-clusters
E22,MatX,frontier-model processor,company product page,product proof,"MatX publishes architecture and throughput specifications; shipment is targeted for 2027",low,vendor,"company profile",https://matx.com/
E23,MatX,frontier-model processor,credible reporting,funding,"MatX raised $500M while targeting 2027 shipment",medium,third party,"company profile; timing",https://techcrunch.com/2026/02/24/nvidia-challenger-ai-chip-startup-matx-raised-500m/
E24,Fractile,in-memory inference,company release,funding,"Fractile raised $220M to develop and commercialize upcoming inference hardware",high,primary announcement,"company profile",https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware
E25,Fractile,in-memory inference,company release,benchmark quality,"100x faster and 10x cheaper claims were simulation/vendor based before production silicon",low,vendor,"company profile; bear case",https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware
E26,Cohort,history,NVIDIA documentation,ecosystem,"CUDA began in 2006 and now spans broad workloads, illustrating the incumbent software moat",high,primary,"historical lens",https://docs.nvidia.com/cuda/cuda-programming-guide/01-introduction/introduction.html
E27,Cohort,history,AMD announcement,exit precedent,"AMD acquired SeaMicro for about $334M and called its fabric a crown jewel",high,primary,"exit paths; historical lens",https://ir.amd.com/news-events/press-releases/detail/404/amd-completes-acquisition-of-seamicro
E28,Cohort,history,OIF standards body,adoption timing,"Co-packaged optics standards work progressed from 2020 through 2023, showing long ecosystem lead times",high,primary,"optical adoption caveat",https://www.oiforum.com/technical-work/implementation-agreements-ias/
E29,Cohort,concentration,SEC filing,customer concentration,"Cirrus Logic reported Apple represented 89% of FY2025 sales",high,primary,"customer concentration risk",https://www.sec.gov/Archives/edgar/data/772406/000077240625000014/crus-20250329.htm
E30,Cohort,export controls,credible reporting,geopolitical risk,"NVIDIA took a $4.5B charge and estimated $8B additional China sales impact",medium,third party citing company,"bear case",https://apnews.com/article/8c723003498b773b7fd3b266f5afa923
