company,url,primary_category,secondary_categories,positioning,target_buyer,product_type,funding_stage,latest_funding,headcount,pricing_model,public_pricing,deployment_model,enterprise_readiness,moat,risk,sources,confidence
OpenAI,https://openai.com,Foundation Models,Enterprise Platforms;Developer Platforms,frontier models and enterprise AI products,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://openai.com,low-to-medium; phase1 candidate
Anthropic,https://www.anthropic.com,Foundation Models,Enterprise Platforms,Claude models and enterprise safety-oriented AI,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.anthropic.com,low-to-medium; phase1 candidate
Google DeepMind,https://deepmind.google,Foundation Models,Enterprise Platforms,Gemini and frontier AI research/productization,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://deepmind.google,low-to-medium; phase1 candidate
Meta AI,https://ai.meta.com,Foundation Models,Infrastructure,open and proprietary AI models including Llama ecosystem,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://ai.meta.com,low-to-medium; phase1 candidate
Mistral AI,https://mistral.ai,Foundation Models,AI Development Platforms,European frontier and open-weight model provider,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://mistral.ai,low-to-medium; phase1 candidate
Cohere,https://cohere.com,Foundation Models,Enterprise Platforms,enterprise-focused language models and retrieval,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://cohere.com,low-to-medium; phase1 candidate
AI21 Labs,https://www.ai21.com,Foundation Models,Enterprise Platforms,language models and enterprise writing systems,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.ai21.com,low-to-medium; phase1 candidate
xAI,https://x.ai,Foundation Models,Enterprise Platforms,frontier model lab and Grok platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://x.ai,low-to-medium; phase1 candidate
DeepSeek,https://www.deepseek.com,Foundation Models,Developer Platforms,open model provider with strong cost/performance positioning,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.deepseek.com,low-to-medium; phase1 candidate
Perplexity,https://www.perplexity.ai,Foundation Models,Knowledge Management,answer engine and enterprise search/research workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.perplexity.ai,low-to-medium; phase1 candidate
