company,primary_category,pricing_status,pricing_evidence,pricing_model,public_pricing,source_url,confidence,next_gap
OpenAI,Foundation Models,verified_partial,"Business plan listed at $25/user/month billed monthly; Enterprise is custom pricing/contact sales. Page also describes usage analytics, spend controls, SAML/MFA, no training by default, and Enterprise controls.",seat + enterprise custom + API usage,partial,https://openai.com/business/pricing/,medium,Need separate API token pricing page/source for model-specific developer pricing.
Anthropic,Foundation Models,verified,"Claude Pro is $20 monthly or $17/month annual; Team standard seat is $20/seat/month annual or $25 monthly; premium seat is $100/seat/month annual or $125 monthly; Enterprise is $20/seat plus API-rate usage. API pricing page lists model token rates.",seat + usage/API,yes,https://claude.com/pricing,high,Attach customer segment and funding source if needed.
Anthropic API,Foundation Models,verified,"Claude API pricing page lists Opus 4.8 at $5/MTok input and $25/MTok output; Sonnet 4.6 at $3/MTok input and $15/MTok output; batch API gives 50% discount.",token usage,yes,https://platform.claude.com/docs/en/about-claude/pricing,high,Keep model list current.
Cohere,Foundation Models,verified_partial,"North and Compass say custom enterprise pricing; Model Vault lists dedicated instance rates, e.g. Embed 4 Small $4/hour or $2,500/month, Embed 4 Medium $5/hour or $3,250/month, Rerank 4 Pro Large $10/hour or $6,500/month.",enterprise custom + dedicated instance,partial,https://cohere.com/pricing,high,Attach latest funding/source separately.
GitHub Copilot,Developer Platforms,verified_partial,"GitHub plan page distinguishes Business and Enterprise; Enterprise adds GitHub.com integration, org knowledge indexing, and custom/private model capability. Data from Business/Enterprise is not used for model training. Pricing page content was available but exact plan prices need separate extraction from page top or docs.",seat + AI credits,partial,https://github.com/features/copilot/plans,medium,Extract exact Business and Enterprise price rows.
Cursor,Developer Platforms,verified,"Individual plan is $20/month; Teams is $40/user/month; Enterprise is custom with pooled usage, invoice/PO billing, SCIM, repository/model/MCP access controls, audit logs, and priority support.",seat + usage + enterprise custom,yes,https://cursor.com/pricing,high,Attach funding/source separately.
LangSmith,Observability,verified,"Plus allows unlimited seats at $39/seat/month; Enterprise is custom. Plus includes trace volume with pay-as-you-go after included traces; deployment runs are billed at $0.005 each on Plus.",seat + trace volume + deployment runs + custom enterprise,yes,https://www.langchain.com/pricing,high,Attach LangChain/LangSmith funding source if needed.
Salesforce Agentforce,Enterprise Platforms,verified,"Agentforce add-ons list $125/user/month; Industries add-ons $150/user/month; Agentforce 1 Editions from $550/user/month; Agentforce User License $5/user/month with required Flex Credits; Flex Credits $500 per 100k credits; conversation pricing $2/conversation.",seat + flex credits + per conversation,yes,https://www.salesforce.com/agentforce/pricing/,high,Map actual implementation cost by use case.
Pinecone,Knowledge Management,verified,"Starter is free; Standard is $50/month minimum usage with pay-as-you-go after that and a 3-week trial including $300 credits; Enterprise is $500/month minimum usage with SLA, private networking, CMEK, audit logs, admin APIs, HIPAA compliance, and pro support.",minimum monthly usage + pay-as-you-go,yes,https://www.pinecone.io/pricing/,high,Attach funding/source separately.
Weights & Biases,AI Operations,verified,"Free is $0/month; Pro starts at $60/month billed monthly and is for early-stage teams under 50 employees; Enterprise is custom with single tenant option, HIPAA option, private connectivity, CMEK, SSO, provisioning, custom roles, audit logs, and support.",seat/platform + usage + custom enterprise,yes,https://wandb.ai/site/pricing/,high,Attach funding/source separately.
RunPod,Infrastructure,verified,"GPU cloud page lists on-demand GPU hourly pricing, including H100 NVL at $3.19/hr, H100 PCIe at $2.89/hr, H100 SXM at $3.29/hr, A100 PCIe at $1.39/hr, A100 SXM at $1.49/hr. Serverless and clusters have separate rates/contact sales.",GPU-hour + serverless + reserved/cluster custom,yes,https://www.runpod.io/pricing,high,Validate availability by region and GPU type.
Modal,Infrastructure,verified,"Starter is $0 plus compute/month; Team is $250 plus compute/month and includes $100/month free credits, unlimited seats, 1000 containers, and 50 GPU concurrency; Enterprise is custom compute. CPU and memory are billed per second.",platform fee + compute usage + custom enterprise,yes,https://modal.com/pricing,high,Attach funding/source separately.
