company,url,primary_category,secondary_categories,phase4_batch,pricing_status,pricing_model,public_pricing,funding_or_ownership_status,latest_funding_or_transaction,valuation_or_public_status,evidence_status,confidence,next_action
OpenAI,https://openai.com,Foundation Models,Enterprise Platforms;Developer Platforms,A_foundation_models,verified_partial,seat + enterprise custom + API usage,partial,source_pending,source_pending,source_pending,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Anthropic,https://www.anthropic.com,Foundation Models,Enterprise Platforms,A_foundation_models,verified,seat + usage/API,yes,private venture-backed,$30B round reported Feb 2026,$380B valuation reported,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Google DeepMind,https://deepmind.google,Foundation Models,Enterprise Platforms,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Meta AI,https://ai.meta.com,Foundation Models,Infrastructure,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Mistral AI,https://mistral.ai,Foundation Models,AI Development Platforms,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Cohere,https://cohere.com,Foundation Models,Enterprise Platforms,A_foundation_models,verified_partial,enterprise custom + dedicated instance,partial,private venture-backed,$500M round in 2025; additional $100M reported later in 2025,~$6.8B-$7B reported,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
AI21 Labs,https://www.ai21.com,Foundation Models,Enterprise Platforms,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
xAI,https://x.ai,Foundation Models,Enterprise Platforms,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
DeepSeek,https://www.deepseek.com,Foundation Models,Developer Platforms,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Perplexity,https://www.perplexity.ai,Foundation Models,Knowledge Management,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Aleph Alpha,https://aleph-alpha.com,Foundation Models,Governance,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Writer,https://writer.com,Foundation Models,Enterprise Platforms,A_foundation_models,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
