claim_id,captured_at,target,competitor,arena,source_title,source_url,source_type,published_at,retrieved_at,metric_family,metric_name,metric_value,metric_unit,baseline,comparison,claim_text,quote_excerpt,evidence_strength,confidence,confidence_reason,storyboard_use,notes
EV-D02,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,distribution,,,,,,Public evidence can prioritize validation questions by partner archetype without claiming organization-specific right-to-win.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 02,Claim kind: interpretation; Co-sources: https://www.gartner.com/en/newsroom/press-releases/2026-04-08-gartner-forecasts-worldwide-semiconductor-revenue-to-exceed-us-dollars-one-point-3-trillion-in-2026
EV-D03,2026-07-29,CRN 2026 semiconductor startup cohort,Tenstorrent,closed-cohort partner readiness,Tenstorrent — TT-Ascalon S launch,https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s,official,2026-06-30,2026-07-29,other,,,,,,The cohort’s most plausible adoption paths complement existing infrastructure before displacing it.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 03,Claim kind: interpretation; Co-sources: https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://www.cornelis.com/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D04,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,distribution,,,,,,"Partners can create value through workload validation, system integration, deployment, and managed operations.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 04,Claim kind: recommendation; Co-sources: https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.cornelis.com/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D05,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,roi_financial,,,,,,"The ten companies address edge deployment, compute architecture, inference economics, or scale-out connectivity.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 05,Claim kind: interpretation
EV-D06,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,distribution,,,,,,"The cohort monetizes through chips and systems, licensable IP, infrastructure components, or partner-enabled platforms.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 06,Claim kind: interpretation; Co-sources: https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.cornelis.com/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D07,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,other,,,,,,"The cohort’s primary ICPs are hyperscalers/frontier labs, HPC institutions, sovereign and enterprise AI operators, and edge OEMs.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 07,Claim kind: interpretation; Co-sources: https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.cornelis.com/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D08,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,distribution,,,,,,"The most credible GTM sequence is lighthouse validation, design-in, reference deployment, and ecosystem replication.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 08,Claim kind: recommendation; Co-sources: https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D09,2026-07-29,CRN 2026 semiconductor startup cohort,Tenstorrent,closed-cohort partner readiness,Tenstorrent — TT-Ascalon S launch,https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s,official,2026-06-30,2026-07-29,other,,,,,,The cohort’s most plausible adoption paths complement existing infrastructure before displacing it.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 09,Claim kind: interpretation; Co-sources: https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://www.cornelis.com/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D10,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,other,,,,,,The ten companies differ more by insertion point and readiness evidence than by a single accelerator-versus-GPU frame.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 10,Claim kind: recommendation; Co-sources: https://www.gartner.com/en/newsroom/press-releases/2026-04-08-gartner-forecasts-worldwide-semiconductor-revenue-to-exceed-us-dollars-one-point-3-trillion-in-2026; https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/; https://www.cornelis.com/; https://www.cornelis.com/stories/cornelis-networks-announces-29m-series-b-funding-round; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/; https://matx.com/research/series_b; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D11,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,other,,,,,,The compute cohort spans broad programmable platforms and highly specialized inference systems.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 11,Claim kind: interpretation
