#,Agent type,Use case,Proof (short),SaaS affected (short),Volume,Determinism,Data moat,Verdict,Build-vs-buy,Proof — what's deployed,SaaS in the crosshairs,volume_score,determinism_score,moat_exposure,exposure_score,moat_label
1,Customer,Conversational support,"Mercedes MBUX, Wendy's FreshAI, Home Depot Magic Apron",Per-seat help desks (Zendesk),H,H,L,REPLACE,80 support seats → 1 agent + KB,"Mercedes-Benz routes drive-time questions through its MBUX Virtual Assistant (Gemini on Vertex AI); Wendy's FreshAI takes drive-thru orders end-to-end; Home Depot's “Magic Apron” and Macy's “Ask Macy's” resolve product and order questions in-app. These are live, branded tier-1 agents already handling the bulk of routine contacts — not pilots.","The exposed layer is the per-seat help desk (Zendesk-class) plus QA-scoring tools and the lower tier of BPO. Once an agent resolves ~80% of volume, the buyer stops paying for ~80% of the agent seats and the remaining staff become escalation managers. The ticketing system of record can survive — the seat count is what collapses, which is why this is a clear Replace.",3,3,3,9,Low moat
2,Customer,In-product owner assistant,"Volkswagen myVW, GM OnStar",Manuals / FAQ / deflection tools,M,M,M,RENEGOTIATE,Keep platform; drop deflection seats,Volkswagen's myVW app lets owners ask “how do I change a flat tire?” and point a phone camera at dashboard lights for multimodal answers; GM's OnStar assistant interprets driver intent by voice. The manual and support content is embedded directly into the product experience.,"This enriches more than it replaces — the value sits in proprietary product data, so the OEM keeps the platform. What erodes is spend on standalone FAQ / knowledge-base tools and call-deflection add-ons, now folded into one in-product agent. Verdict leans Renegotiate: keep the system, drop the bolt-ons.",2,2,2,6,Medium moat
3,Customer,AI shopping / sales consultant,"Mercedes smart sales, Mobiauto, Best Buy",Guided-selling SaaS,H,M,L,REPLACE,Guided-selling seats → 1 agent,Mercedes-Benz added a gen-AI smart sales assistant to its online storefront; Mobiauto's “Shopping Consultant” (Gemini + BigQuery) recommends the ideal car and auto-generates listings; Best Buy uses conversational agents for guided product selection. The agent does the consultative selling a human associate or a guided-selling tool used to script.,"Guided-selling and product-recommendation SaaS — the per-seat configure / quote and merchandising assistants — is the exposed layer. An agent grounded in the catalog and inventory does this natively, so the per-seat tooling compresses. The commerce platform itself stays as system of record. Replace.",3,2,3,8,Low moat
4,Customer,Travel & booking planner,"Agoda, Priceline, LATAM Cosmos, Virgin Voyages",Booking / itinerary tools,H,M,L,REPLACE,Booking seats → agent + inventory API,"Agoda's AI Vacation Planner, Priceline's trip tools, LATAM Airlines' “Cosmos” and Virgin Voyages' “Rovey” turn a natural-language request into a built itinerary against live inventory. The agent owns the plan-and-book loop end to end.","Standalone itinerary builders and booking-assist seats are displaced; the agent reads inventory / PMS via API and assembles the trip. The reservation system of record stays, but the human-facing booking-tool seats shrink. Replace.",3,2,3,8,Low moat
5,Customer,Messaging-channel chatbot,"LUXGEN (LINE), Banglalink REN, DT MINDR",Chatbot / CCaaS bots,H,H,L,REPLACE,Bot-builder seats → 1 agent,"LUXGEN runs a Vertex AI agent on its official LINE account that cut human customer-service workload by ~30%; Banglalink's “REN” and Deutsche Telekom's “MINDR” handle high-volume conversational support on messaging channels. These are deterministic, high-throughput deflection agents.",Per-seat chatbot builders and CCaaS bot modules are the target — the same flows now run on a general agent at a fraction of the per-seat cost. The contact-center platform can remain; the bot-builder licenses do not. Replace.,3,3,3,9,Low moat
6,Employee,Enterprise knowledge search,"Geotab, Bosch AskBosch, Glean",Enterprise search SaaS,H,M,M,RENEGOTIATE,Agent over your data; trim search seats,"Geotab moved research, document summarization, and status reporting onto Google Workspace with Gemini across HR and engineering; Bosch's “AskBosch” and Glean surface answers across internal systems. The agent retrieves and synthesizes across silos on demand.","Standalone enterprise-search SaaS is squeezed because the agent indexes your own corpus and answers directly. But the value is your proprietary data, so you keep the substrate and trim the search seats. Renegotiate — agent over your data, fewer licenses.",3,2,2,7,Medium moat
7,Employee,Doc summarization & drafting,"KPMG, PwC, Deloitte",Doc / productivity add-ons,H,M,L,REPLACE,Native LLM; drop add-on seats,"KPMG, PwC, and Deloitte deploy agents that summarize, review, and draft across engagements — collapsing a manual research-and-brief task that used to eat an hour into a usable first draft in minutes.","This is native LLM capability, so per-seat document-productivity add-ons lose their reason to exist. The office suite stays; the bolt-on summarization / drafting seats go. Replace at the add-on layer.",3,2,3,8,Low moat
8,Employee,Contact-center agent assist,"Humana Agent Assist, Vodafone",CCaaS agent-assist,H,M,M,RENEGOTIATE,Keep CCaaS; agent-assist replaces add-on,Humana's Agent Assist surfaces next-best actions to live reps in real time; Vodafone uses agents to guide and automate contact-center work. The agent rides alongside the human rather than replacing them.,This enriches the CCaaS platform rather than replacing it — but it displaces separate agent-assist and real-time-guidance add-ons. Keep the contact-center system of record; renegotiate the assist module. Renegotiate.,3,2,2,7,Medium moat
9,Employee,Legal research & drafting,"Harvey, Thomson Reuters, Deutsche Bank DB Lumina","Westlaw, LexisNexis, CLM",M,M,L,REPLACE,Per-lawyer research seats → agent,"Harvey and Legora run research, review, and drafting for AmLaw firms; Thomson Reuters embeds gen-AI research; Deutsche Bank's “DB Lumina” drafts research at scale. Firms are quietly trimming junior classes citing the productivity gain.","Per-lawyer research platforms (Westlaw, LexisNexis) and contract-lifecycle tools are repricing fast as the agent does the lookup-and-draft loop. The proprietary case-law corpus retains value, but per-seat research licenses compress. Replace at the seat layer.",2,2,3,7,Low moat
10,Employee,HR / onboarding agent,"Grupo Ruiz, employee-agent deployments",HR workflow SaaS,M,H,M,RENEGOTIATE,Agent runs workflow; keep record system,"Grupo Ruiz uses Gemini Enterprise to streamline team workflows; employee-agent deployments orchestrate onboarding tasks, time-off requests, and policy questions. The agent runs the repetitive HR workflow end to end.","HR workflow SaaS keeps its system-of-record role (payroll, employee records), but the per-seat workflow and case-management modules are exposed to an agent that executes inside them. Renegotiate — keep the SoR, drop the workflow seats.",2,3,2,7,Medium moat
