company,company_status,status_evidence,funding_or_ownership_status,latest_funding_or_transaction,valuation_or_public_status,source_url,confidence,next_gap
OpenAI,private active,"OpenAI business/pricing page confirms active Business and Enterprise products; funding details from current search were not source-verified enough for final use.",source_pending,source_pending,source_pending,https://openai.com/business/pricing/,medium,Attach primary/company announcement or high-quality news source for latest 2026 funding.
Anthropic,private active,"Anthropic/Claude pricing page confirms active product lines; The Guardian and Axios reported a $30B round valuing Anthropic at $380B in Feb 2026.",private venture-backed,"$30B round reported Feb 2026","$380B valuation reported",https://www.theguardian.com/technology/2026/feb/12/anthropic-funding-round,medium,Prefer Anthropic official announcement or Reuters/SEC-style confirmation if available.
Cohere,private active,"Cohere pricing page confirms active enterprise products; secondary sources report 2025 funding of $500M at $6.8B and later $100M taking valuation near $7B.",private venture-backed,"$500M round in 2025; additional $100M reported later in 2025","~$6.8B-$7B reported",https://cohere.com/pricing,medium,Attach primary press release or reputable funding article for latest round.
GitHub Copilot,active Microsoft/GitHub product,"GitHub Copilot plans page confirms active Business and Enterprise product; GitHub is owned by Microsoft.",public-company product,n/a,Microsoft-owned product,https://github.com/features/copilot/plans,high,Attach Microsoft investor-relations source if needed for public status.
Cursor / Anysphere,private active,"Cursor pricing page confirms active product; current secondary sources report Series D of $2.3B at $29.3B valuation in Nov 2025.",private venture-backed,"$2.3B Series D reported Nov 2025","$29.3B reported valuation",https://cursor.com/pricing,medium,Attach TechCrunch/FT/Bloomberg primary-quality source for latest reported round.
LangChain / LangSmith,private active,"LangSmith pricing page confirms active product; secondary sources and LangChain history report $25M Series A led by Sequoia in Feb 2024.",private venture-backed,"$25M Series A reported Feb 2024",source_pending,https://www.langchain.com/pricing,medium,Attach LangChain official announcement for Series A and any later 2025/2026 round.
Salesforce Agentforce,active public-company product,"Salesforce Agentforce pricing page confirms active product and pricing; Salesforce is public.",public-company product,n/a,NYSE: CRM public-company product,https://www.salesforce.com/agentforce/pricing/,high,Attach Salesforce investor-relations/product release if needed.
Pinecone,private active,"Pinecone pricing page confirms active product; secondary sources report a 2023 $100M round at $750M valuation.",private venture-backed,"$100M round reported 2023","$750M reported valuation",https://www.pinecone.io/pricing/,medium,Attach Pinecone official funding announcement or reputable funding source.
Weights & Biases,acquired/active as CoreWeave platform asset,"W&B pricing page remains active; CoreWeave acquisition of Weights & Biases was reported/announced in 2025 for about $1.7B.",acquired,"CoreWeave acquisition reported/completed 2025","~$1.7B reported transaction",https://wandb.ai/site/pricing/,medium-high,Attach CoreWeave official acquisition announcement or SEC filing.
RunPod,private active,"RunPod pricing page confirms active GPU cloud and serverless product; funding/status source not attached in this phase.",source_pending,source_pending,source_pending,https://www.runpod.io/pricing,medium,Attach latest funding source or company profile.
Modal,private active,"Modal pricing page confirms active serverless compute platform; funding/status source not attached in this phase.",source_pending,source_pending,source_pending,https://modal.com/pricing,medium,Attach latest funding source or company profile.
Cohere Model Vault,private active product line,"Cohere pricing page confirms Model Vault product/pricing; ownership same as Cohere.",private venture-backed,same as Cohere,same as Cohere,https://cohere.com/pricing,high,No separate company-status record needed in final table; merge under Cohere.
